Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Malta,MLT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,27164.3004165602,28177.5495393975,29003.5818128032,26077.6273444161,29103.6973856926
Malta,MLT,"Population, total",SP.POP.TOTL,467999,484630,504062,515332,518536
Malta,MLT,Population density (people per sq. km of land area),EN.POP.DNST,1462.496875,1514.46875,1575.19375,1610.4125,1620.425
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,212701200,219430038.452148,231996704.101563,240751144.40918,257784881.591797
Marshall Islands,MHL,GDP (current LCU),NY.GDP.MKTP.CN,212701200,219430038.452148,231996704.101563,240751144.40918,257784881.591797
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,4507.622862229,4771.35920442167,5186.83384237084,5545.60026741253,6130.4371365469
Marshall Islands,MHL,GDP per capita (current LCU),NY.GDP.PCAP.CN,4507.622862229,4771.35920442167,5186.83384237084,5545.60026741253,6130.4371365469
Marshall Islands,MHL,GDP (constant LCU),NY.GDP.MKTP.KN,194139633.178711,205126403.808594,226373046.875,219930511.474609,222376800.537109
Marshall Islands,MHL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,193900558.836132,204873799.745564,226094278.513933,219659676.809976,222102953.376059
Marshall Islands,MHL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,4114.26098668513,4460.33625015969,5061.10371299857,5066.00583867987,5288.39002466371
Marshall Islands,MHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4109.19445686591,4454.84354401191,5054.87118838163,5059.7672773127,5281.87760704064
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,47187,45989,44728,43413,42050
Marshall Islands,MHL,Population density (people per sq. km of land area),EN.POP.DNST,262.15,255.494444444444,248.488888888889,241.183333333333,233.611111111111
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,6800135898.28827,7473550557.07378,7894764885.82312,8260752385.23089,9222536364.01272
Mauritania,MRT,GDP (current LCU),NY.GDP.MKTP.CN,243406900000,266637600000,289665500000,307210500000,332595400000
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1634.64215833074,1749.95423645373,1800.87518658218,1836.29241098592,1998.39400265586
Mauritania,MRT,GDP per capita (current LCU),NY.GDP.PCAP.CN,58511.0630610707,62433.992271078,66075.6107247307,68290.1851329879,72068.7483829811
Mauritania,MRT,GDP (constant LCU),NY.GDP.MKTP.KN,226307400252.009,237107182426.825,244554730572.859,243672725891.496,245482520995.07
Mauritania,MRT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,6636194355.30261,6952885075.21368,7171275533.99903,7145411799.62139,7198481880.56977
Mauritania,MRT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,54400.6212121853,55519.356591319,55785.3910052237,54166.2982319617,53192.6119183055
Mauritania,MRT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1595.23327567391,1628.03885516365,1635.83999676974,1588.36203400464,1559.80984520601
Mauritania,MRT,"Population, total",SP.POP.TOTL,4160015,4270712,4383849,4498604,4614974
Mauritania,MRT,Population density (people per sq. km of land area),EN.POP.DNST,4.03610652954303,4.14350635490443,4.25327350344426,4.36461045891142,4.47751431066266
